,item_id,dept_id,cat_id,state_id,price,year,sale_perday,price_change,sale_change,elasticity,level,revenue,LB_price,UB_price,opti_price,optimized_units,optimized_revenue
1,FOODS_2_001,FOODS_2,FOODS,CA,1.9700000286102295,2011,1.8703703703703705,-0.172268935342888,0.24691358024691357,1.4333029907885084,Elastic Demand,3.684629683141355,0.9850000143051147,2.9550000429153442,2.9550000429153442,3.2107740932374016,9.487837583307996
2,FOODS_2_001,FOODS_2,FOODS,CA,2.2799999713897705,2011,1.2,0.157360374760114,-0.3584158415841585,2.277675317757351,Elastic Demand,2.7359999656677245,1.1399999856948853,3.4199999570846558,3.4199999570846558,2.5666051906544105,8.777789641891339
8,FOODS_2_001,FOODS_2,FOODS,TX,1.7599999904632568,2011,1.8518518518518519,0.060240979429287744,-0.2063492063492064,3.4253959398423106,Elastic Demand,3.259259241598624,0.8799999952316284,2.6399999856948853,2.6399999856948853,5.023514759113251,13.262078892197028
9,FOODS_2_001,FOODS_2,FOODS,TX,1.8200000524520874,2011,2.259259259259259,0.034090944496560915,0.21999999999999997,-6.453326631129082,Elastic Demand,4.111851970354715,0.9100000262260437,2.730000078678131,1.0510125726353825,8.419498608235543,8.84899889254166
11,FOODS_2_001,FOODS_2,FOODS,TX,2.0,2012,1.81145584725537,0.13636364252114097,0.09625321500567696,-0.7058568781686398,Inelastic Demand,3.62291169451074,1.0,3.0,2.4167178056848213,1.5450422014163936,3.7339309986974722
13,FOODS_2_001,FOODS_2,FOODS,TX,0.9900000095367432,2013,2.0,-0.5049999952316284,0.1922330097087379,0.38065942876012576,Inelastic Demand,1.9800000190734863,0.4950000047683716,1.4850000143051147,1.4850000143051147,2.3806594287601257,3.535279285764393
15,FOODS_2_001,FOODS_2,FOODS,TX,1.7799999713897705,2014,1.8438538205980066,-0.11000001430511475,0.053630754627432387,0.48755225139037717,Inelastic Demand,3.282059747911371,0.8899999856948853,2.6699999570846558,2.6699999570846558,2.29334136133166,6.123221336335998
19,FOODS_2_001,FOODS_2,FOODS,WI,1.9700000286102295,2011,2.150753768844221,-0.1126126111613186,0.1948632049134562,1.7303852819318157,Elastic Demand,4.236984986156674,0.9850000143051147,2.9550000429153442,2.9550000429153442,4.011570102177933,11.854189824093703
24,FOODS_2_002,FOODS_2,FOODS,CA,1.8300000429153442,2013,1.0,-0.026595719384629013,-0.7134104833219878,-26.824259686478083,Elastic Demand,1.8300000429153442,0.9150000214576721,2.7450000643730164,0.9491109326592257,13.912129887635107,13.204154572929646
26,FOODS_2_002,FOODS_2,FOODS,CA,1.9800000190734863,2014,3.184757505773672,0.053191502178454586,-0.09063166398798728,1.7038748724170825,Elastic Demand,6.305819922176299,0.9900000095367432,2.9700000286102295,2.9700000286102295,5.897971650188403,17.51697596980188
27,FOODS_2_002,FOODS_2,FOODS,CA,2.2799999713897705,2014,2.388888888888889,0.1515151259729104,-0.24989928289420682,1.6493355451447578,Elastic Demand,5.446666598320007,1.1399999856948853,3.4199999570846558,3.4199999570846558,4.358928567811794,14.907535514851414
30,FOODS_2_002,FOODS_2,FOODS,CA,2.0,2016,2.187250996015936,-0.1228070065365382,0.07508947261800247,0.6114429032651443,Inelastic Demand,4.374501992031872,1.0,3.0,3.0,2.855940545602717,8.567821636808151
33,FOODS_2_002,FOODS_2,FOODS,TX,1.8700000047683716,2014,1.853658536585366,-0.00531914387692578,-0.17277879022393083,-32.48244345738379,Elastic Demand,3.466341472253567,0.9350000023841858,2.8050000071525574,0.9637847778249186,31.03250873054221,29.90865953221547
38,FOODS_2_002,FOODS_2,FOODS,WI,1.9800000190734863,2014,5.085257548845471,0.053191502178454586,0.0922814934220002,-1.7348916583028777,Elastic Demand,10.068810043707623,0.9900000095367432,2.9700000286102295,1.560640836321692,6.953814223430286,10.852406445279918
39,FOODS_2_002,FOODS_2,FOODS,WI,1.7699999809265137,2014,6.11340206185567,-0.10606062430506402,0.20218140440961996,1.9062814850880196,Elastic Demand,10.820721532880645,0.8849999904632568,2.6549999713897705,2.6549999713897705,11.940334642562863,31.70158813438869
42,FOODS_2_002,FOODS_2,FOODS,WI,1.8700000047683716,2016,6.187861271676301,0.056497189220031885,0.02089293707790807,-0.36980489412560336,Inelastic Demand,11.571300607540705,0.9350000023841858,2.8050000071525574,2.8050000071525574,5.043710580458213,14.147608214260716
46,FOODS_2_003,FOODS_2,FOODS,CA,2.180000066757202,2013,2.80607476635514,0.10101012411974786,0.3233889727788435,-3.2015500980422984,Elastic Demand,6.117243177979906,1.090000033378601,3.2700001001358032,1.4304601296472819,5.894931827545573,8.432464946292729
48,FOODS_2_003,FOODS_2,FOODS,CA,2.2799999713897705,2014,2.716494845360825,0.045871514481795606,-0.13875989050647564,3.0249685905082413,Elastic Demand,6.19360816970314,1.1399999856948853,3.4199999570846558,3.4199999570846558,6.825150637107844,23.342014886005135
49,FOODS_2_003,FOODS_2,FOODS,CA,1.9800000190734863,2014,1.1538461538461537,-0.13157892810560856,-0.5752444898554956,-4.371858762930413,Elastic Demand,2.2846154066232534,0.9900000095367432,2.9700000286102295,1.2164483195914912,3.099149275159801,3.769954927931328
51,FOODS_2_003,FOODS_2,FOODS,CA,1.9600000381469727,2015,1.1666666666666667,-0.14035084967467892,-0.5459861775651249,-3.890152277885552,Elastic Demand,2.2866667111714682,0.9800000190734863,2.940000057220459,1.2319181609911591,2.8525888796307113,3.514156046658497
56,FOODS_2_003,FOODS_2,FOODS,TX,1.9800000190734863,2013,2.0784313725490198,0.005076137217272736,0.16251246261216368,-32.014986131418446,Elastic Demand,4.115294157289991,0.9900000095367432,2.9700000286102295,1.0209230270497829,34.30969150424698,35.027554107660045
57,FOODS_2_003,FOODS_2,FOODS,TX,2.180000066757202,2013,1.652694610778443,0.10101012411974786,-0.20483561179527743,2.027872092825508,Elastic Demand,3.602874361826274,1.090000033378601,3.2700001001358032,3.2700001001358032,3.3284212503588027,10.88393782196742
59,FOODS_2_003,FOODS_2,FOODS,TX,2.2799999713897705,2014,1.3153846153846154,0.045871514481795606,-0.13482142857142854,2.939110035813909,Elastic Demand,2.9990768854434675,1.1399999856948853,3.4199999570846558,3.4199999570846558,3.248414677400686,11.109578057303512
61,FOODS_2_003,FOODS_2,FOODS,TX,1.9800000190734863,2015,1.923913043478261,-0.13157892810560856,0.27459239130434776,2.086902479430088,Elastic Demand,3.809347862782686,0.9900000095367432,2.9700000286102295,2.9700000286102295,3.9314224937995954,11.676324919063697
66,FOODS_2_003,FOODS_2,FOODS,WI,2.180000066757202,2013,2.031784841075795,0.10101012411974786,-0.21912746779549686,2.1693614348569703,Elastic Demand,4.429291089181504,1.090000033378601,3.2700001001358032,3.2700001001358032,4.235622680154209,13.850486588241742
68,FOODS_2_003,FOODS_2,FOODS,WI,2.2799999713897705,2014,1.7921348314606742,0.045871514481795606,-0.10218586416102682,2.2276540313832434,Elastic Demand,4.086067364456948,1.1399999856948853,3.4199999570846558,3.4199999570846558,3.788263022503524,12.95585937438744
73,FOODS_2_004,FOODS_2,FOODS,CA,3.880000114440918,2014,2.142857142857143,0.026455064499479652,-0.07101568951279935,2.6843892032165018,Elastic Demand,8.314285959516253,1.940000057220459,5.820000171661377,5.820000171661377,5.0189884320176805,29.210513535909367
74,FOODS_2_004,FOODS_2,FOODS,CA,3.5,2014,1.1935483870967742,-0.09793817093628443,-0.443010752688172,-4.52337171965751,Elastic Demand,4.17741935483871,1.75,5.25,2.1368795299546237,3.296205729341122,7.043594549548195
75,FOODS_2_004,FOODS_2,FOODS,CA,3.380000114440918,2014,2.0,-0.034285681588309136,0.6756756756756757,19.7072260014825,Elastic Demand,6.760000228881836,1.690000057220459,5.070000171661377,5.070000171661377,21.7072260014825,110.05563955380858
77,FOODS_2_004,FOODS_2,FOODS,CA,3.940000057220459,2015,1.7813953488372094,0.015463902322123246,-0.086087982901075,5.567028367601253,Elastic Demand,7.018697776350865,1.9700000286102295,5.9100000858306885,5.9100000858306885,6.739934569282047,39.83301388295013
78,FOODS_2_004,FOODS_2,FOODS,CA,3.5,2015,1.0,-0.11167513980465893,-0.43864229765013063,-3.927841938836159,Elastic Demand,3.5,1.75,5.25,2.195537291236594,2.463920952893922,5.409630334737808
79,FOODS_2_004,FOODS_2,FOODS,CA,3.380000114440918,2015,4.0,-0.034285681588309136,3.0,87.50008344658231,Elastic Demand,13.520000457763672,1.690000057220459,5.070000171661377,5.070000171661377,179.00016689316462,907.5308768757598
83,FOODS_2_004,FOODS_2,FOODS,TX,3.880000114440918,2014,2.144144144144144,0.026455064499479652,-0.1198262701842654,4.529426499286073,Elastic Demand,8.319279524657103,1.940000057220459,5.820000171661377,5.820000171661377,7.000015796531915,40.7400931374481
85,FOODS_2_004,FOODS_2,FOODS,TX,3.7699999809265137,2015,2.0684104627766597,-0.028350549038644646,0.005477308294209671,0.1931993728496598,Inelastic Demand,7.7979074052162085,1.8849999904632568,5.6549999713897705,5.6549999713897705,2.2682182648787226,12.826774222994931
89,FOODS_2_004,FOODS_2,FOODS,WI,3.880000114440918,2014,2.5278969957081543,0.026455064499479652,-0.1666785225934445,6.300439093494666,Elastic Demand,9.808240632642491,1.940000057220459,5.820000171661377,5.820000171661377,10.491327523751842,61.05952798919145
91,FOODS_2_004,FOODS_2,FOODS,WI,3.940000057220459,2015,2.3972602739726026,0.015463902322123246,-0.17053678650754012,11.028056369934754,Elastic Demand,9.445205616624387,1.9700000286102295,5.9100000858306885,5.9100000858306885,15.615820991360149,92.28950339925515
94,FOODS_2_005,FOODS_2,FOODS,CA,3.680000066757202,2011,1.9387755102040816,0.13230771284836984,0.29251700680272097,-2.2108840105032854,Elastic Demand,7.134694006978249,1.840000033378601,5.520000100135803,2.6722463433307815,3.1125916290868783,8.31761159910941
95,FOODS_2_005,FOODS_2,FOODS,CA,3.380000114440918,2011,2.6783783783783783,-0.08152172469405483,0.381479374110953,4.67948115109951,Elastic Demand,9.052919225435,1.690000057220459,5.070000171661377,5.070000171661377,8.945088946945425,45.35160249653959
96,FOODS_2_005,FOODS_2,FOODS,CA,3.7799999713897705,2011,1.4,0.11834314893655451,-0.4772956609485368,4.033149913937325,Elastic Demand,5.291999959945678,1.8899999856948853,5.669999957084656,5.669999957084656,4.223204939756127,23.94557182717695
97,FOODS_2_005,FOODS_2,FOODS,CA,3.869999885559082,2011,1.4285714285714286,0.023809501283202916,0.020408163265306145,-0.8571436680911775,Inelastic Demand,5.528571265084403,1.934999942779541,5.804999828338623,4.192497636000245,1.3265312244597292,5.561479022627925
99,FOODS_2_005,FOODS_2,FOODS,CA,3.680000066757202,2012,1.5833333333333333,-0.04909556186574182,-0.12344139650872821,-2.5143086628949214,Elastic Demand,5.82666677236557,1.840000033378601,5.520000100135803,2.5718115478367283,2.782161026069786,7.155193854787557
100,FOODS_2_005,FOODS_2,FOODS,CA,3.5799999237060547,2012,1.4722222222222223,-0.0271739514231224,-0.07017543859649111,-2.58245249297011,Elastic Demand,5.270555443233914,1.7899999618530273,5.369999885559082,2.483139550701298,2.6370830450715204,6.548245207700906
102,FOODS_2_005,FOODS_2,FOODS,CA,3.5799999237060547,2013,1.5,-0.07493539287563367,-0.12086092715231789,-1.6128683992209718,Elastic Demand,5.369999885559082,1.7899999618530273,5.369999885559082,2.8998238714682505,1.959651320086719,5.682643677741737
104,FOODS_2_005,FOODS_2,FOODS,CA,3.5799999237060547,2014,2.0,-0.07493539287563367,0.1856978085351788,2.478105490730818,Elastic Demand,7.159999847412109,1.7899999618530273,5.369999885559082,5.369999885559082,4.478105490730818,24.04742597274599
106,FOODS_2_005,FOODS_2,FOODS,CA,3.940000057220459,2015,1.4655172413793103,0.018087900188985317,0.15147783251231517,-8.374539384320467,Elastic Demand,5.774138014892052,1.9700000286102295,5.9100000858306885,2.2052368528934467,6.86927454104734,15.148377370560311
109,FOODS_2_005,FOODS_2,FOODS,TX,3.680000066757202,2011,1.5314685314685315,0.13230771284836984,-0.23426573426573427,1.770612832935995,Elastic Demand,5.63580429804075,1.840000033378601,5.520000100135803,5.520000100135803,2.8872874489964437,15.937827007581218
110,FOODS_2_005,FOODS_2,FOODS,TX,3.4800000190734863,2011,1.8120300751879699,-0.05434783805858867,0.1831977203282178,3.3708373115178,Elastic Demand,6.305864696215866,1.7400000095367432,5.2200000286102295,5.2200000286102295,4.866059368705977,25.400830043864275
112,FOODS_2_005,FOODS_2,FOODS,TX,3.5799999237060547,2012,1.7555555555555555,-0.07493539287563367,0.1321338383838384,1.7633034713400915,Elastic Demand,6.28488875495063,1.7899999618530273,5.369999885559082,5.369999885559082,3.3033441581763023,17.738957751369007
113,FOODS_2_005,FOODS_2,FOODS,TX,2.0,2012,2.0,-0.44134077021722995,0.139240506329114,0.3154943203198272,Inelastic Demand,4.0,1.0,3.0,3.0,2.3154943203198273,6.946482960959482
